0,23
1,23
2,23
3,23
4,23
5,23
6,23
7,23
8,23
9,23
10,23
11,23
12,23
13,23
14,23
15,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
23,23
24,23
25,23
26,23
27,23
28,23
29,23
30,23
31,23
32,23
33,23
34,23
35,23
36,23
37,23
38,23
39,23
40,23
41,23
42,23
43,23
44,23
45,23
46,23
47,23
48,23
49,23
50,23
51,23
52,23
53,23
54,23
55,23
56,23
57,23
58,23
59,23
60,23
61,23
62,27
63,28
64,34
65,38
66,39
67,39
68,39
69,40
70,45
71,48
72,42
73,43
74,44
75,44
76,46
77,44
78,40
79,40
80,38
81,38
82,37
83,37
84,37
85,38
86,41
87,44
88,45
89,44
90,44
91,44
92,44
93,44
94,44
95,44
96,45
97,47
98,53
99,53
100,51
101,50
102,46
103,43
104,41
105,41
106,44
107,44
108,44
109,43
110,43
111,44
112,44
113,44
114,44
115,44
116,44
117,45
118,50
119,52
120,71
121,59
122,55
123,55
124,54
125,53
126,53
127,52
128,52
129,52
130,52
131,50
132,47
133,47
134,47
135,49
136,55
137,62
138,56
139,57
140,58
141,63
142,63
143,58
144,52
145,54
146,55
147,55
148,55
149,55
150,54
151,54
152,54
153,51
154,52
155,53
156,53
157,54
158,52
159,52
160,55
161,58
162,52
163,51
164,47
165,46
166,47
167,47
168,50
169,51
170,53
171,53
172,58
173,53
174,64
175,57
176,53
177,59
178,57
179,66
180,79
181,73
182,66
183,64
184,71
185,73
186,79
187,63
188,58
189,59
190,57
191,53
192,50
193,50
194,51
195,50
196,50
197,56
198,59
199,64
200,54
201,51
202,59
203,53
204,53
205,55
206,53
207,56
208,58
209,58
210,57
211,59
212,61
213,64
214,69
215,88
216,63
217,57
218,58
219,58
220,56
221,56
222,56
223,54
224,52
225,51
226,51
227,50
228,50
229,51
230,52
231,54
232,55
233,56
234,61
235,64
236,61
237,62
238,59
239,60
240,61
241,59
242,59
243,59
244,58
245,58
246,66
247,66
248,66
249,70
250,60
251,60
252,60
253,60
254,59
255,59
256,58
257,56
258,56
259,55
260,50
261,47
262,47
263,46
264,47
265,46
266,46
267,46
268,46
269,46
270,46
271,46
272,47
273,51
274,50
275,53
276,62
277,69
278,85
279,64
280,61
281,63
282,57
283,58
284,57
285,59
286,64
287,57
288,56
289,59
290,57
291,55
292,60
293,64
294,66
295,50
296,54
297,52
298,54
299,52
300,50
301,50
302,50
303,50
304,50
305,52
306,54
307,59
308,67
309,63
310,61
311,58
312,55
313,52
314,55
315,53
316,52
317,53
318,53
319,75
320,66
321,63
322,61
323,59
324,67
325,63
326,53
327,59
328,54
329,56
330,57
331,59
332,59
333,59
334,63
335,68
336,72
337,67
338,68
339,64
340,64
341,64
342,64
343,64
344,63
345,63
346,65
347,67
348,72
349,72
350,73
351,71
352,66
353,64
354,60
355,59
356,66
357,63
358,60
359,62
360,64
361,61
362,60
363,59
364,59
365,60
366,63
367,65
368,68
369,71
370,73
371,74
372,67
373,62
374,59
375,59
376,58
377,57
378,57
379,58
380,59
381,60
382,60
383,58
384,59
385,63
386,60
387,53
388,56
389,57
390,57
391,56
392,61
393,73
394,58
395,60
396,57
397,56
398,56
399,55
400,56
401,57
402,61
403,70
404,74
405,70
406,66
407,64
408,59
409,60
410,68
411,79
412,69
413,66
414,62
415,59
416,58
417,59
418,62
419,69
420,58
421,61
422,58
423,59
424,59
425,59
426,58
427,59
428,59
429,59
430,59
431,59
432,59
433,59
434,59
435,59
436,59
437,59
438,59
439,59
440,59
441,59
442,59
443,59
444,59
445,59
446,59
447,59
